filter,target,stop,horizon,n,avg,median,win_rate,target_rate,stop_rate,time_rate,profit_factor
mb_score_40_46,2.0,-1.5,360,20,0.35,0.0,25.0,25.0,10.0,65.0,3.3333333333333335
vol_score_34_38,1.2,-0.8,180,16,0.3262190656409318,0.14573595486322422,56.25,31.25,6.25,62.5,3.8992586992345757
vol_score_34_38,1.0,-0.8,180,16,0.2637190656409318,0.14573595486322422,56.25,31.25,6.25,62.5,3.343792487147477
vol_score_34_38,1.5,-1.0,360,16,0.24287460636189298,0.035360678925033806,50.0,25.0,12.5,62.5,2.240025727748598
mb_score_40_46,1.5,-1.0,360,20,0.15,0.0,20.0,20.0,15.0,65.0,2.0
vol_score_34_38,2.0,-1.5,360,16,0.13154648136189367,0.0,43.75,18.75,12.5,68.75,1.4282241951049566
mb_score_40_46,1.2,-0.8,180,20,0.09999999999999999,0.0,15.0,15.0,10.0,75.0,2.2499999999999996
mb_score_40_46,1.0,-0.8,180,20,0.06999999999999999,0.0,15.0,15.0,10.0,75.0,1.875
not_high_score46,2.0,-1.5,360,94,0.06439491951706716,0.0,27.659574468085108,10.638297872340425,8.51063829787234,80.85106382978722,1.3062235707756624
not_high_score46,1.5,-1.0,360,94,0.05328236543308187,0.0,27.659574468085108,10.638297872340425,11.702127659574469,77.6595744680851,1.3167641168566624
not_high_score46,1.2,-0.8,180,94,0.03432715680496644,0.0,24.46808510638298,10.638297872340425,11.702127659574469,77.6595744680851,1.256307468687534
all,1.2,-0.8,180,103,0.015793715919095584,0.0,22.330097087378643,9.70873786407767,12.62135922330097,77.66990291262135,1.1146457746960243
not_high_score46,1.0,-0.8,180,94,0.013050561060285595,0.0,24.46808510638298,10.638297872340425,11.702127659574469,77.6595744680851,1.0974434407521323
all,1.5,-1.0,360,103,0.009791673307861124,0.0,25.24271844660194,9.70873786407767,14.563106796116504,75.72815533980582,1.0509067001083368
all,2.0,-1.5,360,103,0.0005157517922748715,0.0,25.24271844660194,9.70873786407767,11.650485436893204,78.64077669902912,1.0020616457920584
all,1.0,-0.8,180,103,-0.003623759809059748,0.0,22.330097087378643,9.70873786407767,12.62135922330097,77.66990291262135,0.9736953132024064
score36_44,1.2,-0.8,180,46,-0.03515022943656369,0.0,26.08695652173913,13.043478260869565,21.73913043478261,65.21739130434783,0.8435102028167993
score36_44,2.0,-1.5,360,46,-0.03610913949674549,0.0,26.08695652173913,13.043478260869565,13.043478260869565,73.91304347826086,0.8905529883042939
score36_44,1.5,-1.0,360,46,-0.03707827175532409,0.0,26.08695652173913,13.043478260869565,19.565217391304348,67.3913043478261,0.860437601384571
score36_44,1.0,-0.8,180,46,-0.06123718595830282,0.0,26.08695652173913,13.043478260869565,21.73913043478261,65.21739130434783,0.7273703482368626
MB_only,1.2,-0.8,180,38,-0.09993589089981422,0.0,10.526315789473683,7.894736842105263,21.052631578947366,71.05263157894737,0.4894042716323109
MB_only,1.0,-0.8,180,38,-0.11572536458402474,0.0,10.526315789473683,7.894736842105263,21.052631578947366,71.05263157894737,0.4087321753139409
MB_only,2.0,-1.5,360,38,-0.13895583151226507,0.0,15.789473684210526,13.157894736842104,23.684210526315788,63.1578947368421,0.6553376449810489
MB_only,1.5,-1.0,360,38,-0.15211372624910716,0.0,13.157894736842104,10.526315789473683,26.31578947368421,63.1578947368421,0.510982421712171
rebound_score_ge38,1.2,-0.8,180,4,-0.32953367875647716,-0.2590673575129543,0.0,0.0,25.0,75.0,0.0
rebound_score_ge38,1.0,-0.8,180,4,-0.32953367875647716,-0.2590673575129543,0.0,0.0,25.0,75.0,0.0
rebound_score_ge38,1.5,-1.0,360,4,-0.37953367875647714,-0.2590673575129543,0.0,0.0,25.0,75.0,0.0
rebound_score_ge38,2.0,-1.5,360,4,-0.4042589534817509,-0.2590673575129543,0.0,0.0,0.0,100.0,0.0
